"Date","Predicted_Infected","Predicted_recovered","Actual_Infected","Actual_Recoverd"
2020-03-31,87,14,101,14
2020-04-01,-6.06080245884905e-15,101.087087049112,103,14
2020-04-02,-1.21204814830668e-17,101.087087049112,113,14
2020-04-03,-2.41667001748001e-20,101.087087049112,113,14
2020-04-04,-4.81850312258338e-23,101.087087049112,174,19
2020-04-05,-9.60742338647195e-26,101.087087049112,227,19
2020-04-06,-1.91558626767655e-28,101.087087049112,227,19
2020-04-07,-3.81941192899253e-31,101.087087049112,305,21
2020-04-08,-7.61537484859755e-34,101.087087049112,326,21
2020-04-09,-1.51839956415346e-36,101.087087049112,361,27
2020-04-10,-3.0274770214846e-39,101.087087049112,410,31
2020-04-11,-6.03636706207791e-42,101.087087049112,431,32
2020-04-12,-1.20356742754714e-44,101.087087049112,452,45
2020-04-13,-2.39974563798309e-47,101.087087049112,483,46
2020-04-14,-4.78475820738162e-50,101.087087049112,657,49
2020-04-15,-9.5401407300767e-53,101.087087049112,660,50
2020-04-16,-1.90217104407942e-55,101.087087049112,735,51
2020-04-17,-3.79266384349678e-58,101.087087049112,846,74
2020-04-18,-7.56204289553697e-61,101.087087049112,849,82
2020-04-19,-1.50776591634965e-63,101.087087049112,969,86
2020-04-20,-3.00627501039611e-66,101.087087049112,1084,108
2020-04-21,-5.99409320784657e-69,101.087087049112,1184,140
2020-04-22,-1.19515368601888e-71,101.087087049112,1294,140
2020-04-23,-2.39726276868346e-74,101.087087049112,1449,173
2020-04-24,-4.80836485988924e-77,101.087087049112,1510,206
2020-04-25,-9.64448913245113e-80,101.087087049112,1621,247
2020-04-26,-1.93446573426865e-82,101.087087049112,1843,289
2020-04-27,-3.8800994284734e-85,101.087087049112,1868,289
2020-04-28,-7.78259925115248e-88,101.087087049112,1955,335
2020-04-29,-1.5610128611574e-90,101.087087049112,2053,462
2020-04-30,-3.13103768291206e-93,101.087087049112,2134,510
2020-05-01,-6.28015131449294e-96,101.087087049112,2203,513
2020-05-02,-1.25965588814764e-98,101.087087049112,2328,654
2020-05-03,-2.52658395812741e-101,101.087087049112,2487,689
2020-05-04,-5.06775426323121e-104,101.087087049112,2645,754
2020-05-05,-1.01647654294844e-106,101.087087049112,2766,802
2020-05-06,-2.03882135691908e-109,101.087087049112,2880,987
2020-05-07,-4.08941313438361e-112,101.087087049112,2998,1130
2020-05-08,-8.20243506220385e-115,101.087087049112,3071,1250
2020-05-09,-1.64522240082851e-117,101.087087049112,3214,1387
2020-05-10,-3.29994291660911e-120,101.087087049112,NA,NA
2020-05-11,-6.61893689701638e-123,101.087087049112,NA,NA
2020-05-12,-1.32758489879549e-125,101.087087049112,NA,NA
2020-05-13,-2.64037228424718e-128,101.087087049112,NA,NA
2020-05-14,-5.2511086021401e-131,101.087087049112,NA,NA
2020-05-15,-1.04432760033811e-133,101.087087049112,NA,NA
2020-05-16,-2.0769331173809e-136,101.087087049112,NA,NA
2020-05-17,-4.1305536430844e-139,101.087087049112,NA,NA
2020-05-18,-8.21474377562049e-142,101.087087049112,NA,NA
2020-05-19,-1.63372809387768e-144,101.087087049112,NA,NA
